Month ,t1,t2  ,t3
January,0,0.027777778,0.055555556
February,0.083333333,0.111111111,0.138888889
March ,0.166666667,0.194444444,0.222222222
April ,0.25,0.277777778,0.305555556
May ,0.333333333,0.361111111,0.388888889
June ,0.416666667,0.444444444,0.472222222
July ,0.5,0.527777778,0.555555556
August ,0.583333333,0.611111111,0.638888889
September ,0.666666667,0.694444444,0.722222222
October ,0.75,0.777777778,0.805555556
November ,0.833333333,0.861111111,0.888888889
December ,0.916666667,0.944444444,0.972222222
